id,lang,title,standard_timestamp,event_timestamp_v1,event_timestamp_v2,event_time_start_v1,event_time_end_v1,event_time_start_v2,event_time_end_v2,time_granularity_v1,time_granularity_v2,pseudo_time,pseudo_range_start,pseudo_range_end,pseudo_granularity,pseudo_source_text,is_evaluable_v1,is_evaluable_v2,is_exact_v1,is_exact_v2,is_relaxed_v1,is_relaxed_v2,is_range_hit_v1,is_range_hit_v2,is_anchor_in_gold_range_v1,is_anchor_in_gold_range_v2,is_interval_gold,exact_compare,relaxed_compare,range_compare
gdelt_0222483f,el,Όλοι εναντίον του Νετανιάχου – DW – 03 / 06 / 2021,2025-12-02 01:30:00,2025-12-02 01:30:00,2021-06-03 00:00:00,2025-12-02 00:00:00,2025-12-02 00:00:00,2021-06-03 00:00:00,2021-06-03 00:00:00,,day,2021-01-01 00:00:00,2021-01-01 00:00:00,2021-12-31 00:00:00,year,03 / 06 / 2021,1,1,0,1,0,1,0,1,0,1,1,v2_better,v2_better,v2_better
gdelt_022cc33f,ko,2026年河北省继续实施20项民生工程 - 新华网河北频道 - 新华网,2025-12-17 10:15:00,2025-12-17 10:15:00,2026-01-01 00:00:00,2025-12-17 00:00:00,2025-12-17 00:00:00,2026-01-01 00:00:00,2026-12-31 00:00:00,,year,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_024d73c2,es,"Determinación de China para salvaguardar derechos legítimos es inquebrantable , dice vice primer ministro",2025-09-16 08:45:00,2025-09-16 08:45:00,2025-09-16 00:00:00,2025-09-16 00:00:00,2025-09-16 00:00:00,2025-09-16 00:00:00,2025-09-16 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0282205c,fr,Le dirigeant suprême de la RPDC supervise un exercice de lancement de missiles hypersoniques ( KCNA ) - Xinhua,2026-01-05 11:30:00,2026-01-05 11:30:00,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-05 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_02ab3774,es,La situación humanitaria en Sudán es la peor crisis de 2025 – DW – 21 / 12 / 2025,2025-12-21 17:30:00,2025-12-21 17:30:00,2025-12-21 00:00:00,2025-12-21 00:00:00,2025-12-21 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,,year,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,year,de 2025,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_02c5a1eb,en,"Ohio State , USC receivers climbing draft boards , but No . 1 remains unchanged",2025-10-23 02:30:00,2025-10-23 02:30:00,2025-10-23 00:00:00,2025-10-23 00:00:00,2025-10-23 00:00:00,2025-10-23 00:00:00,2025-10-23 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_02fd8fdf,en,"Trying to catch students using AI a  lost cause , Singapore university professors say",2025-07-08 14:00:00,2025-07-08 14:00:00,2025-07-08 00:00:00,2025-07-08 00:00:00,2025-07-08 00:00:00,2025-07-08 00:00:00,2025-07-08 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_033c7684,ja,新華社が選んだ２０２５年の国内十大ニュース,2025-12-30 12:45:00,2025-12-30 12:45:00,2025-12-30 00:00:00,2025-12-30 00:00:00,2025-12-30 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,,year,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_03c3e504,en,Opinion | The W . N . B . A . Is Making More Money Than Ever . Why Arent the Players ? ,2025-10-03 18:00:00,2025-10-03 18:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,2025-10-03 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_03e4c0c8,en,Diogo Jota obituary : Liverpool forward was natural goalscorer,2025-07-04 01:30:00,2025-07-04 01:30:00,2025-07-04 00:00:00,2025-07-04 00:00:00,2025-07-04 00:00:00,2025-07-04 00:00:00,2025-07-04 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_03f65f45,af,US chess grandmaster Daniel Naroditsky dies at 29,2025-10-21 14:30:00,2025-10-21 14:30:00,2025-10-21 00:00:00,2025-10-21 00:00:00,2025-10-21 00:00:00,2025-10-21 00:00:00,2025-10-21 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_048388b1,en,"Kanchha Sherpa , last member of first Mount Everest expedition , dies at 92",2025-10-17 13:00:00,2025-10-17 13:00:00,2025-10-17 00:00:00,2025-10-17 00:00:00,2025-10-17 00:00:00,2025-10-17 00:00:00,2025-10-17 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_04f32725,en,Singapore economy grew 2 . 9 % in Q3 of 2025 : MTI advance estimates,2025-10-14 09:30:00,2025-10-14 00:00:00,2025-10-14 00:00:00,2025-10-14 00:00:00,2025-10-14 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,,year,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0516bfc4,uk,Бессент : США тимчасово дозволили Індії купувати нафту з РФ,2026-03-06 18:30:00,2026-03-06 18:30:00,2026-03-06 00:00:00,2026-03-06 00:00:00,2026-03-06 00:00:00,2026-03-06 00:00:00,2026-03-06 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_052ff424,it,"LIVE : US to dictate decisions to Venezuela , control oil sales  indefinitely | Donald Trump News",2026-01-08 19:45:00,2026-01-08 19:45:00,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_055edae5,zh-cn,  停息挂账  假冒网站  冒牌催收 …… 这些贷款虚假营销如何识别 ？- 新华网,2026-03-16 19:45:00,2026-03-16 19:45:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_05c16590,ja,中国で鉄道ダイヤ改正 輸送能力と効率が向上,2026-01-27 13:15:00,2026-01-27 13:15:00,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_05d82c4b,ru,Исследование : ФРГ тратит на соцнужды больше всех в Европе – DW – 24 . 11 . 2025,2025-11-24 18:45:00,2025-11-24 18:45:00,2025-11-24 00:00:00,2025-11-24 00:00:00,2025-11-24 00:00:00,2025-11-24 00:00:00,2025-11-24 00:00:00,,day,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,year,2025,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_05df1ee6,en,Indranee Rajah on election of Seah Kian Peng as Speaker,2025-09-05 21:00:00,2025-09-05 21:00:00,2025-09-05 00:00:00,2025-09-05 00:00:00,2025-09-05 00:00:00,2025-09-05 00:00:00,2025-09-05 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0658eec1,uk,"У Брянській області РФ міст обвалився на потяг , є жертви – DW – 01 . 06 . 2025",2025-06-01 14:15:00,2025-06-01 14:15:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,,day,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,year,2025,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_07074fc7,en,"What we learned in NFL Week 17 : 49ers , Seahawks set up clash for NFC top seed",2025-12-29 19:30:00,2025-12-29 19:30:00,2025-12-24 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-24 00:00:00,2025-12-24 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_072b77c4,ru,"Иран заявил , что готов сотрудничать с МАГАТЭ  в новой форме  – DW – 13 . 07 . 2025",2025-07-13 11:15:00,2025-07-13 11:15:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,,day,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,year,2025,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_07bd4bfb,en,The words from my Dad that saved me as a new parent,2025-12-29 09:30:00,2025-12-29 09:30:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_07d96da4,ko,甘肃省风能太阳能可开发量居全国前列 - 新华网,2025-12-21 14:00:00,2025-12-21 14:00:00,2025-12-21 00:00:00,2025-12-21 00:00:00,2025-12-21 00:00:00,2025-12-21 00:00:00,2025-12-21 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_07f27479,ru,С экс - главы депкультуры Москвы просят взыскать 1 млрд рублей – DW – 11 . 11 . 2025,2025-11-11 23:30:00,2025-11-11 23:30:00,2025-11-11 00:00:00,2025-11-11 00:00:00,2025-11-11 00:00:00,2025-11-11 00:00:00,2025-11-11 00:00:00,,day,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,year,2025,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_0848165e,fr,Croissance des revenus et bénéfices du secteur chinois du logiciel et des services informatiques de janvier à septembre - Xinhua,2025-10-31 14:30:00,2025-10-31 14:30:00,2025-10-31 00:00:00,2025-10-31 00:00:00,2025-10-31 00:00:00,2025-10-31 00:00:00,2025-10-31 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_08701fb7,ko,勇做数字蓝海  弄潮儿 - 新华网辽宁频道,2025-09-07 16:45:00,2025-09-07 16:45:00,2025-09-07 00:00:00,2025-09-07 00:00:00,2025-09-07 00:00:00,2025-09-07 00:00:00,2025-09-07 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_08778898,en,Giants not inclined to spend what it takes to sign Tatsuya Imai : Sources,2025-12-02 02:15:00,2025-12-02 02:15:00,2025-12-02 00:00:00,2025-12-02 00:00:00,2025-12-02 00:00:00,2025-12-02 00:00:00,2025-12-02 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_091c1f3f,en,Map shows how 16 days of attacks have evolved in US - Israel war on Iran,2026-03-16 20:15:00,2026-02-28 20:15:00,2026-02-28 00:00:00,2026-02-28 00:00:00,2026-02-28 00:00:00,2026-02-28 00:00:00,2026-02-28 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_092e1e7f,en,"Mateo Kovacic to have surgery on Achilles injury , expected to miss around three months",2025-06-02 19:45:00,2025-06-02 19:45:00,2025-03-02 00:00:00,2025-06-02 00:00:00,2025-06-02 00:00:00,2025-03-02 00:00:00,2025-03-02 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_095f7edd,en,Live : Israel continues attacks on Gaza as Palestinians fear return to war | Israel - Palestine conflict News,2025-11-01 17:30:00,2025-11-01 17:30:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_09d81245,en,India IPO boom : Companies looking to raise US$18b through initial public offerings in H2,2025-07-29 22:30:00,2025-07-29 22:30:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0ac0d5e4,zh-cn,全球AI少年北京集结 ： 国际人工智能奥林匹克盛会将迎中国首秀 - 新华网,2025-07-28 09:45:00,2025-07-28 09:45:00,2025-07-01 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0ac3443c,es,La justicia francesa ordena juzgar a Depardieu por violación – DW – 02 / 09 / 2025,2025-09-02 21:15:00,2025-09-02 21:15:00,2025-09-02 00:00:00,2025-09-02 00:00:00,2025-09-02 00:00:00,2025-09-02 00:00:00,2025-09-02 00:00:00,,day,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,year,02 / 09 / 2025,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_0ad802f3,en,"LIVE : Israel sets military budget at $34bn , keeps attacking Gaza | Gaza News",2025-12-05 17:00:00,2025-12-05 17:00:00,2025-12-05 00:00:00,2025-12-05 00:00:00,2025-12-05 00:00:00,2025-12-05 00:00:00,2025-12-05 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0b33f580,fa,پرواز ۱۶۳ ؛ هواپیمایی که از کراچی برخاست و بی‌سرنشین به زمین نشست,2025-10-13 14:45:00,2025-10-13 14:45:00,2025-10-13 00:00:00,2025-10-13 00:00:00,2025-10-13 00:00:00,2025-10-13 00:00:00,2025-10-13 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0b821856,af,Wie Staaten weltweit die globale Energiekrise bewältigen,2026-03-27 06:15:00,2026-03-27 06:15:00,2026-03-24 00:00:00,2026-03-27 00:00:00,2026-03-27 00:00:00,2026-03-24 00:00:00,2026-03-24 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0bae1764,ko,年内76只新股发行  硬科技  成色足 - 新华网,2025-09-30 11:45:00,2025-09-30 11:45:00,2025-09-30 00:00:00,2025-09-30 00:00:00,2025-09-30 00:00:00,2025-09-30 00:00:00,2025-09-30 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0bca8076,ko,甘肃省中医药文化陇原行系列活动启动 - 新华网,2025-07-03 10:30:00,2025-07-03 10:30:00,2025-07-03 00:00:00,2025-07-03 00:00:00,2025-07-03 00:00:00,2025-07-03 00:00:00,2025-07-03 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0c11306c,ru," « Сплести паутину лжи ». Как работали и провалились российские шпионы Дульцевы , выдававшие себя за аргентинцев",2025-07-08 16:00:00,2025-07-08 16:00:00,2025-07-08 00:00:00,2025-07-08 00:00:00,2025-07-08 00:00:00,2025-07-08 00:00:00,2025-07-08 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0c74eda3,ko,荷兰发现奶牛感染禽流感 或为美国以外首例 - 新华网,2026-01-27 14:15:00,2026-01-27 14:15:00,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0c783f5d,en,I was transferred mid - hysterectomy after  touch and go  C - section,2026-02-26 16:00:00,2026-02-26 16:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,2026-02-26 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0cc95303,en,Tameside woman  took own life after benefits cut in error  ,2026-01-28 19:15:00,2026-01-28 19:15:00,2026-01-28 00:00:00,2026-01-28 00:00:00,2026-01-28 00:00:00,2026-01-28 00:00:00,2026-01-28 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0cf21185,en,  We want the truth  - families of Nottingham attacks victims speak ahead of inquiry hearings,2026-02-22 10:30:00,2026-02-22 10:30:00,2026-02-18 00:00:00,2026-02-22 00:00:00,2026-02-22 00:00:00,2026-02-18 00:00:00,2026-02-18 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0cf3e585,fr,Pourquoi les affrontements entre étudiants et forces de lordre secouent luniversité de Dakar au Sénégal,2026-02-10 21:45:00,2026-02-10 21:45:00,2026-02-10 00:00:00,2026-02-10 00:00:00,2026-02-10 00:00:00,2026-02-10 00:00:00,2026-02-10 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0d2d1047,es,Así se prepara Alemania para combatir el fentanilo – DW – 08 / 09 / 2025,2025-09-09 05:30:00,2025-09-09 05:30:00,2025-09-08 00:00:00,2025-09-09 00:00:00,2025-09-09 00:00:00,2025-09-08 00:00:00,2025-09-08 00:00:00,,day,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,year,08 / 09 / 2025,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_0d5024e3,ko,超七成民众支持加沙全面停火 以色列再爆发大规模示威 - 新华网,2025-07-14 00:30:00,2025-07-14 00:30:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0d85e14b,ja,上海ディズニー１０周年記念イベント開幕,2026-03-23 08:45:00,2026-03-23 08:45:00,2026-03-01 00:00:00,2026-03-23 00:00:00,2026-03-23 00:00:00,2026-03-01 00:00:00,2026-03-01 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0e46d3dd,en,"LIVE : Israel attacks Gaza school , forced starvation crisis grows | Israel - Palestine conflict News",2025-07-11 21:15:00,2025-07-11 21:15:00,2025-07-11 00:00:00,2025-07-11 00:00:00,2025-07-11 00:00:00,2025-07-11 00:00:00,2025-07-11 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0e57177f,uk,Оскари 2026 : прогнози – хто переможе і хто повинен перемогти,2026-03-15 19:00:00,2026-03-15 19:00:00,2026-03-15 00:00:00,2026-03-15 00:00:00,2026-03-15 00:00:00,2026-01-01 00:00:00,2026-12-31 00:00:00,,year,2026-01-01 00:00:00,2026-01-01 00:00:00,2026-12-31 00:00:00,year,2026,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_0e96ad7d,fr,La Chine exhorte les Etats - Unis à cesser les interrogatoires injustifiés du personnel des entreprises chinoises - Xinhua,2026-02-03 08:45:00,2026-02-03 08:45:00,2026-02-03 00:00:00,2026-02-03 00:00:00,2026-02-03 00:00:00,2026-02-03 00:00:00,2026-02-03 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0f3a2bca,en,Bondi shooting families demand national probe into  rise of antisemitism  in Australia,2025-12-29 10:15:00,2025-12-29 10:15:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0f5c014c,es,China experimenta crecimiento constante de ingreso disponible per cápita en los primeros tres trimestres,2025-10-20 20:00:00,2025-10-20 20:00:00,2025-10-20 00:00:00,2025-10-20 00:00:00,2025-10-20 00:00:00,2025-10-20 00:00:00,2025-10-20 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0f6a050e,en,Singaporean doctor accused of filming colleagues in Melbourne hospital toilet gets new charges,2025-07-27 12:45:00,2025-07-27 12:45:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0fd25d2e,en,Trump vows tough action after beheading of Indian motel manager in Dallas,2025-09-15 15:30:00,2025-09-15 15:30:00,2025-09-15 00:00:00,2025-09-15 00:00:00,2025-09-15 00:00:00,2025-09-15 00:00:00,2025-09-15 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0fde232e,en,Antarctic Ocean secrets hidden in layers of seafloor mud,2025-08-19 08:00:00,2025-08-19 08:00:00,2025-08-19 00:00:00,2025-08-19 00:00:00,2025-08-19 00:00:00,2025-08-19 00:00:00,2025-08-19 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_0fe13af0,en,Music industry faces censorship after Bob Vylan controversy – DW – 07 / 14 / 2025,2025-07-14 21:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,,day,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 00:00:00,year,07 / 14 / 2025,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_10149827,ko,首批柬埔寨榴莲飞入河南 - 新华网河南频道,2025-08-10 09:45:00,2025-08-10 09:45:00,2025-08-10 00:00:00,2025-08-10 00:00:00,2025-08-10 00:00:00,2025-08-10 00:00:00,2025-08-10 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_10412607,es,  El granero de china  bajo las estrellas | Spanish . xinhuanet . com,2025-08-04 14:30:00,2025-08-04 14:30:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_1069f51e,sw,"Marekani : Ujerumani ilikiuka haki za binaadamu , 2024 – DW – 13 . 08 . 2025",2025-08-13 20:30:00,2024-08-13 00:00:00,2024-12-31 00:00:00,2024-08-13 00:00:00,2024-08-13 00:00:00,2024-01-01 00:00:00,2024-12-31 00:00:00,,year,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-12-31 00:00:00,year,2024,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
gdelt_10a889e4,en,Canada inflation ticks up as Carney says US trade talks  intensive  ,2025-10-22 05:00:00,2025-10-22 05:00:00,2025-10-22 00:00:00,2025-10-22 00:00:00,2025-10-22 00:00:00,2025-10-22 00:00:00,2025-10-22 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_10b9368f,sw,Trump asema kuna maendeleo katika mazungumzo ya kumaliza vita vya Ukraine,2025-12-29 13:15:00,2025-12-29 13:15:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,,day,,,,,,0,0,0,0,0,0,0,0,0,0,0,na,na,na
gdelt_1103274a,hi,बांग्लादेश : हिंसक घटनाओं को लेकर चिंतित है अल्पसंख्यक संगठन – DW – 07 . 01 . 2026,2026-01-07 17:30:00,2026-01-07 17:30:00,2026-01-07 00:00:00,2026-01-07 00:00:00,2026-01-07 00:00:00,2026-01-07 00:00:00,2026-01-07 00:00:00,,day,2026-01-01 00:00:00,2026-01-01 00:00:00,2026-12-31 00:00:00,year,2026,1,1,1,1,1,1,1,1,1,1,1,tie,tie,tie
